Config,Architecture,Params,SampleCount,Latency_Mean_s,Latency_Median_s,PSNR_Mean,PSNR_Std,PSNR_Median,SSIM_Mean,SSIM_Std,SSIM_Median,SAM_Mean_deg,SAM_Std,SpectralMAE_Mean,DC_MAE_Mean,GradSim_Mean,FalseEdgeRate_Mean,MissingEdgeRate_Mean,HF_ExcessRate_Mean,Correctness_Mean
A_Bicubic,Bicubic Interpolation (Deterministic baseline),0,30,0.03965,0.03916,32.14,0.8951,32.21,0.7486,0.0349,0.7513,3.5493,0.2978,0.0174,0.0032,0.7693,0.1394,0.9767,0.0366,0.8058
B_SRCNN_L1,SRCNN Baseline (Bicubic pre-upsampling + 3 Conv layers),26084,30,0.05979,0.05779,31.224,0.8612,31.185,0.7273,0.0358,0.731,3.8547,0.3028,0.019,0.0066,0.7567,0.9596,0.9879,0.027,0.4702
C_RCAN_L1,"Lightweight RCAN-Lite (3 RGs, 3 RCABs, Residual Anchor)",450184,30,0.05919,0.0576,32.5647,0.9242,32.555,0.7533,0.0345,0.7555,3.4617,0.2958,0.017,0.0014,0.7803,0.1854,0.9745,0.0414,0.794
D_RCAN_L1_DC,"Lightweight RCAN-Lite (3 RGs, 3 RCABs, Residual Anchor)",450184,30,0.05618,0.05518,32.577,0.9288,32.555,0.7541,0.0345,0.7561,3.4517,0.2959,0.0169,0.0011,0.7808,0.1946,0.9735,0.0431,0.7906
E_RCAN_L1_SAM_DC,"Lightweight RCAN-Lite (3 RGs, 3 RCABs, Residual Anchor)",450184,30,0.05832,0.05681,32.576,0.9287,32.555,0.7541,0.0345,0.7562,3.449,0.2959,0.0169,0.0011,0.7809,0.1931,0.9739,0.0428,0.7913
F_RCAN_Full_Uncertainty,"Lightweight RCAN-Lite (3 RGs, 3 RCABs, Residual Anchor)",456197,30,0.05129,0.04637,32.548,0.9062,32.55,0.7512,0.0345,0.7535,3.4843,0.2926,0.0171,0.0016,0.7842,0.152,0.9758,0.042,0.8097
